Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Large,Outlet_Medium,Outlet_Small
FDA15,9.3,0,0.016,0,249.8092,9,23,1,0,1,3735.138,0.0,1.0,0.0
DRC01,5.92,1,0.019,2,48.2692,3,13,1,2,2,443.4228,0.0,1.0,0.0
FDN15,17.5,0,0.017,0,141.618,9,23,1,0,1,2097.27,0.0,1.0,0.0
FDX07,19.2,1,0.066,0,182.095,0,24,2,2,0,732.38,0.0,0.0,1.0
NCD19,8.93,0,0.066,0,53.8614,1,35,0,2,1,994.7052,1.0,0.0,0.0
FDP36,10.39,1,0.066,0,51.4008,3,13,1,2,2,556.6088,0.0,1.0,0.0
FDO10,13.65,1,0.013,1,57.6588,1,35,0,2,1,343.5528,1.0,0.0,0.0
FDP10,12.86,0,0.127,1,107.7622,5,37,1,2,3,4022.7636,0.0,1.0,0.0
FDH17,16.2,1,0.017,1,96.9726,7,20,2,1,1,1076.5986,0.0,0.0,1.0
FDU28,19.2,1,0.094,1,187.8214,2,15,2,1,1,4710.535,0.0,0.0,1.0
FDY07,11.8,0,0.066,0,45.5402,9,23,1,0,1,1516.0266,0.0,1.0,0.0
FDA03,18.5,1,0.045,0,144.1102,8,25,2,0,1,2187.153,0.0,0.0,1.0
FDX32,15.1,1,0.1,0,145.4786,9,23,1,0,1,1589.2646,0.0,1.0,0.0
FDS46,17.6,1,0.047,1,119.6782,8,25,2,0,1,2145.2076,0.0,0.0,1.0
FDF32,16.35,0,0.068,0,196.4426,1,35,0,2,1,1977.426,1.0,0.0,0.0
FDP49,9.0,1,0.069,0,56.3614,8,25,2,0,1,1547.3192,0.0,0.0,1.0
NCB42,11.8,0,0.009,2,115.3492,3,13,1,2,2,1621.8888,0.0,1.0,0.0
FDP49,9.0,1,0.069,0,54.3614,9,23,1,0,1,718.3982,0.0,1.0,0.0
DRI11,12.86,0,0.034,2,113.2834,5,37,1,2,3,2303.668,0.0,1.0,0.0
